"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 16, 2021","56,500","56,700","56,900","56,500","16.56K","-0.35%"
"Sep 15, 2021","56,700","56,500","56,800","56,500","8.65K","0.35%"
"Sep 14, 2021","56,500","56,800","56,800","56,400","12.50K","0.18%"
"Sep 13, 2021","56,400","56,000","56,400","55,500","15.40K","0.71%"
"Sep 12, 2021","56,000","56,000","56,000","56,000","-","0.00%"
"Sep 10, 2021","56,000","55,600","56,000","55,400","21.11K","0.54%"
"Sep 09, 2021","55,700","55,900","56,500","55,500","12.52K","-0.36%"
"Sep 08, 2021","55,900","56,400","56,400","55,900","14.39K","-0.89%"
"Sep 07, 2021","56,400","56,500","57,000","56,000","23.37K","0.00%"
"Sep 06, 2021","56,400","56,700","56,800","56,200","13.43K","-0.53%"
"Sep 03, 2021","56,700","56,300","56,900","56,300","12.14K","0.89%"
"Sep 02, 2021","56,200","56,900","57,100","56,200","13.55K","-0.71%"
"Sep 01, 2021","56,600","57,200","57,400","56,300","0.01K","-0.88%"
"Aug 31, 2021","57,100","56,900","57,200","56,400","14.73K","0.53%"
"Aug 30, 2021","56,800","56,400","57,100","56,300","0.00K","1.25%"
"Aug 27, 2021","56,100","55,900","56,500","55,600","15.26K","0.36%"
"Aug 26, 2021","55,900","56,700","56,900","55,900","21.07K","-1.41%"
"Aug 25, 2021","56,700","57,400","57,600","56,300","23.78K","-1.22%"
"Aug 24, 2021","57,400","57,800","58,000","57,000","0.00K","0.00%"
"Aug 23, 2021","57,400","56,300","57,500","56,000","25.43K","1.95%"
"Aug 20, 2021","56,300","56,600","56,700","55,300","46.41K","0.36%"
"Aug 19, 2021","56,100","57,000","57,500","55,800","55.68K","-2.94%"
"Aug 18, 2021","57,800","57,100","57,900","56,000","33.15K","1.23%"
"Aug 17, 2021","57,100","57,400","57,900","56,500","63.58K","-0.70%"